desktop,(not set),"10,976,284",5.91%,"649,199",0.19%,<0.01,00:01:54,0,$0.00,0.00%
desktop,1920x940,"336,157",4.81%,"16,182",17.54%,8.48,00:12:00,0,$0.00,0.00%
desktop,1370x630,"206,970",5.99%,"12,401",16.25%,7.95,00:11:31,0,$0.00,0.00%
desktop,1370x660,"153,566",9.84%,"15,111",17.51%,8.16,00:11:53,0,$0.00,0.00%
desktop,1900x920,"127,832",3.20%,"4,096",16.35%,8.29,00:11:47,0,$0.00,0.00%
desktop,1540x720,"121,415",5.65%,"6,864",17.29%,8.57,00:12:17,0,$0.00,0.00%
desktop,1920x970,"117,058",7.97%,"9,331",19.10%,9.38,00:11:58,0,$0.00,0.00%
desktop,1900x940,"103,309",37.76%,"39,007",7.41%,7.88,00:08:11,0,$0.00,0.00%
desktop,1350x610,"96,872",5.52%,"5,352",16.09%,14.20,00:12:42,0,$0.00,0.00%
desktop,1350x640,"94,502",6.52%,"6,158",15.88%,8.03,00:12:25,0,$0.00,0.00%
desktop,1540x750,"94,038",9.40%,"8,839",17.05%,8.09,00:11:09,0,$0.00,0.00%
desktop,1370x650,"93,628",13.93%,"13,047",14.69%,7.34,00:10:06,0,$0.00,0.00%
desktop,1350x630,"88,781",35.81%,"31,790",4.23%,7.64,00:08:43,0,$0.00,0.00%
desktop,1350x660,"80,156",37.30%,"29,899",2.71%,8.05,00:09:54,0,$0.00,0.00%
desktop,1370x620,"73,067",13.72%,"10,023",14.69%,7.11,00:10:20,0,$0.00,0.00%
desktop,1900x950,"69,512",6.66%,"4,631",15.74%,8.89,00:11:19,0,$0.00,0.00%
desktop,1280x580,"69,182",5.86%,"4,054",16.71%,8.05,00:11:48,0,$0.00,0.00%
desktop,1900x970,"57,594",38.32%,"22,070",4.82%,8.80,00:08:43,0,$0.00,0.00%
desktop,1440x790,"57,232",13.16%,"7,534",16.40%,8.81,00:11:18,0,$0.00,0.00%
desktop,1010x670,"54,406",96.02%,"52,240",2.49%,233.60,00:35:19,0,$0.00,0.00%
desktop,1920x980,"52,331",4.69%,"2,456",16.97%,8.32,00:11:56,0,$0.00,0.00%
desktop,1280x610,"47,974",7.82%,"3,752",15.61%,8.26,00:11:46,0,$0.00,0.00%
desktop,1040x810,"47,096",56.11%,"26,424",25.61%,2.84,00:00:40,0,$0.00,0.00%
desktop,1520x710,"45,546",5.00%,"2,277",16.25%,9.07,00:12:48,0,$0.00,0.00%
desktop,1520x720,"45,373",32.65%,"14,813",6.01%,7.62,00:08:31,0,$0.00,0.00%
desktop,1350x650,"44,760",23.52%,"10,527",7.25%,7.77,00:10:02,0,$0.00,0.00%
desktop,1920x950,"43,774",7.16%,"3,134",16.30%,7.95,00:11:19,0,$0.00,0.00%
desktop,1520x750,"40,017",33.37%,"13,353",3.45%,7.84,00:08:56,0,$0.00,0.00%
desktop,1520x740,"37,463",2.82%,"1,057",15.37%,8.73,00:12:37,0,$0.00,0.00%
desktop,1350x620,"37,290",20.80%,"7,758",9.50%,7.30,00:10:03,0,$0.00,0.00%
desktop,1900x930,"36,312",10.93%,"3,970",14.07%,8.18,00:11:16,0,$0.00,0.00%
desktop,1440x840,"34,933",24.26%,"8,475",15.65%,6.76,00:09:04,0,$0.00,0.00%
desktop,1440x770,"34,567",11.87%,"4,103",13.93%,9.38,00:11:11,0,$0.00,0.00%
desktop,1280x690,"34,362",12.41%,"4,266",17.68%,9.03,00:13:56,0,$0.00,0.00%
desktop,1280x630,"34,145",5.66%,"1,933",16.41%,7.90,00:11:35,0,$0.00,0.00%
desktop,1920x890,"33,898",5.60%,"1,898",17.79%,7.55,00:10:43,0,$0.00,0.00%
desktop,1370x640,"33,543",9.39%,"3,150",16.14%,7.28,00:10:38,0,$0.00,0.00%
desktop,1920x930,"32,919",8.63%,"2,842",18.79%,6.80,00:08:32,0,$0.00,0.00%
desktop,1920x960,"32,888",13.23%,"4,352",18.44%,6.95,00:08:41,0,$0.00,0.00%
desktop,1280x650,"32,687",8.72%,"2,850",19.41%,7.78,00:10:49,0,$0.00,0.00%
desktop,1280x620,"29,258",8.06%,"2,357",15.80%,6.77,00:10:13,0,$0.00,0.00%
desktop,1600x760,"29,159",6.22%,"1,814",17.10%,8.37,00:12:00,0,$0.00,0.00%
desktop,1370x600,"28,652",12.82%,"3,673",15.11%,6.61,00:09:51,0,$0.00,0.00%
